id	country	count
ARG	Argentina	1768
AUS	Australia	996
AUT	Austria	1307
BRA	Brazil	17
BGR	Bulgaria	46
CAN	Canada	131
CHL	Chile	1724
CHN	China	1
HRV	Croatia	19
CYP	Cyprus	4
CZE	Czech Republic	4
EGY	Egypt	1
GBR	United Kingdom	26
FRA	France	9036
GEO	Georgia	35
DEU	Germany	719
GRC	Greece	168
HUN	Hungary	59
IND	India	4
ISR	Israel	201
ITA	Italy	7455
LBN	Lebanon	10
LUX	Luxembourg	1
MKD	Macedonia	4
MEX	Mexico	28
MDA	Moldova	21
MAR	Morocco	10
NZL	New Zealand	464
PER	Peru	6
PRT	Portugal	2044
ROU	Romania	31
SRB	Serbia	5
SVN	Slovenia	35
ZAF	South Africa	446
ESP	Spain	2869
CHE	Switzerland	2
TUR	Turkey	38
UKR	Ukraine	4
URY	Uruguay	35
USA	United States	22317
